"filename", "language", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\admin.html", "HTML", 20, 0, 0, 0, 0, 20
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\css\map.css", "PostCSS", 0, 0, 170, 13, 47, 230
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\css\style.css", "PostCSS", 0, 0, 84, 6, 47, 137
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\index.html", "HTML", 25, 0, 0, 0, 11, 36
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\js\auth.js", "JavaScript", 0, 54, 0, 2, 17, 73
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\js\map.js", "JavaScript", 0, 557, 0, 55, 164, 776
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\map.html", "HTML", 47, 0, 0, 10, 22, 79
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\professor.html", "HTML", 18, 0, 0, 0, 0, 18
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\Cse-project\student.html", "HTML", 28, 0, 0, 0, 8, 36
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\admin.html", "HTML", 20, 0, 0, 0, 0, 20
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\css\map.css", "PostCSS", 0, 0, 170, 13, 47, 230
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\css\style.css", "PostCSS", 0, 0, 84, 6, 47, 137
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\index.html", "HTML", 25, 0, 0, 0, 11, 36
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\js\auth.js", "JavaScript", 0, 54, 0, 2, 17, 73
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\js\map.js", "JavaScript", 0, 557, 0, 55, 164, 776
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\map.html", "HTML", 47, 0, 0, 10, 22, 79
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\professor.html", "HTML", 18, 0, 0, 0, 0, 18
"c:\Users\tejus\OneDrive\Desktop\Documents\GitHub\Cse-project\student.html", "HTML", 28, 0, 0, 0, 8, 36
"Total", "-", 276, 1222, 508, 172, 632, 2810